"management","services_from","node_from","node_to","taxon_from","services_to","weight","hop","type"
"E","Pollination",520,91,"Butterfly","None",3.24080198171232e-05,1,"I"
"E","Pollination",521,61,"Butterfly","None",0.0430382222509413,1,"I"
"E","Pollination",517,14,"Butterfly","None",0.00869787379367004,1,"I"
"E","Pollination",517,28,"Butterfly","None",0.0127160385594825,1,"I"
"E","Pollination",518,26,"Butterfly","None",0.0126035842293685,1,"I"
"E","Pollination",518,28,"Butterfly","None",0.00465373236723516,1,"I"
"E","Pollination",520,28,"Butterfly","None",0.00452592000211479,1,"I"
"E","Pollination",521,26,"Butterfly","None",0.272055911870388,1,"I"
"E","Pollination",521,28,"Butterfly","None",0.100453599525977,1,"I"
"E","Pollination",523,28,"Butterfly","None",0.00657702522075498,1,"I"
"E","Pollination",527,14,"Butterfly","None",0.00159079849866454,1,"I"
"E","Pollination",527,28,"Butterfly","None",0.00232570114596359,1,"I"
"E","Pollination",527,61,"Butterfly","None",0.000996420668662705,1,"I"
"E","Pollination",529,11,"Butterfly","None",0.000745326955435942,1,"I"
"E","Pollination",529,14,"Butterfly","None",0.0054949664770706,1,"I"
"E","Pollination",529,26,"Butterfly","None",0.0217568714690191,1,"I"
"E","Pollination",529,28,"Butterfly","None",0.0080334812004682,1,"I"
"E","Pollination",526,26,"Butterfly","None",0.00407509952387705,1,"I"
"E","Crop damage",499,4,"Seed-feeding bird","None",5.74808031590245e-06,1,"I"
"E","Crop damage",500,4,"Seed-feeding bird","None",4.90584426032048e-05,1,"I"
"E","Crop damage",501,4,"Seed-feeding bird","None",4.97361655734289e-06,1,"I"
"E","Crop damage",502,4,"Seed-feeding bird","None",0.000117617787082129,1,"I"
"E","Crop damage",503,4,"Seed-feeding bird","None",1.47791381965304e-05,1,"I"
"E","Crop damage",504,4,"Seed-feeding bird","None",5.05590917495308e-05,1,"I"
"E","Crop damage",505,4,"Seed-feeding bird","None",0.000122388267122672,1,"I"
"E","Crop damage",506,4,"Seed-feeding bird","None",2.51166900578056e-05,1,"I"
"E","Crop damage",507,4,"Seed-feeding bird","None",1.58902316712731e-05,1,"I"
"E","Crop damage",508,4,"Seed-feeding bird","None",1.93754950534347e-05,1,"I"
"E","Crop damage",509,4,"Seed-feeding bird","None",6.65867728581104e-06,1,"I"
"E","Crop damage",500,8,"Seed-feeding bird","None",1.78394336738926e-05,1,"I"
"E","Crop damage",501,8,"Seed-feeding bird","None",1.80858783903378e-06,1,"I"
