"node_from","node_to","weight","management"
11,326,2.67037582883433e-05,"E"
11,105,2.52576898530814e-05,"E"
77,317,0.000143350957967113,"E"
77,202,1.60214013512973e-05,"E"
77,259,0.000864151229053468,"E"
78,123,0.000471732901639509,"E"
78,308,7.74650181015502e-05,"E"
26,183,0.00113806369781744,"E"
11,179,0.00129190953424409,"E"
11,164,0.000864065652843016,"E"
11,141,2.76550610964614e-05,"E"
20,123,9.78247952708659e-05,"E"
47,179,8.00134537645218e-05,"E"
20,126,5.71291603858555e-05,"E"
61,179,0.00596592621030392,"E"
47,193,2.1251672460347e-06,"E"
76,179,3.69292863528562e-05,"E"
26,166,0.000730912318138683,"E"
26,228,0.00083639707136845,"E"
26,318,0.00802411891265222,"E"
76,276,3.32738639565017e-06,"E"
26,179,0.0377121872235368,"E"
26,144,0.00075799748380521,"E"
38,179,0.000812444299762837,"E"
26,198,0.00107859473909063,"E"
76,322,1.46904929830173e-06,"E"
61,128,0.000121284352035195,"E"
61,264,0.000238527738447292,"E"
61,244,0.000614724865779006,"E"
61,303,0.00440971117871667,"E"
61,164,0.00399018026346229,"E"
20,279,4.76887670373678e-06,"E"
61,278,0.000119263869223646,"E"
20,164,0.000148196110063595,"E"
61,247,0.000239267323686263,"E"
61,190,0.000313184952509565,"E"
61,318,0.0012693854390315,"E"
61,186,0.000421573724450423,"E"
61,282,0.000119263869223646,"E"
61,203,0.000119263869223646,"E"
61,196,0.000534095119454788,"E"
28,131,0.000559865755999886,"E"
61,259,0.0063456195933449,"E"
61,317,0.00105265214816305,"E"
28,244,0.0014348019563999,"E"
11,259,0.00137413138619942,"E"
61,138,0.000867127174292681,"E"
62,259,4.58262015407142e-05,"E"
61,248,0.00063412090801177,"E"
26,232,0.00372735117199787,"E"
47,138,1.16296845824872e-05,"E"
26,237,0.009729763966687,"E"
61,286,0.000122348880266357,"E"
61,232,0.000589652939518465,"E"
61,209,0.0004655217019382,"E"
61,276,0.000537539272217284,"E"
61,285,0.000274510499193059,"E"
26,164,0.0252229779328239,"E"
24,181,1.55548400911186e-07,"E"
